제목,축제 기간,주소,비용,상세 내용
청주시 도시농업 페스티벌,2024.05.03 ~ 2024.05.06,충청북도 청주시 상당구 단재로 480-2 (지북동),무료(일부체험 유료),"2024 청주시 도시농업 페스티벌은 ‘생명문화도시 청주! 농업을 만나다!’라는 슬로건으로 시민들에게 도시농업의 여러 모델을 전시하고, 온 가족이 도심 속에서 농업의 가치를 즐길 수 있는 축제의 장이다.
[행사내용]
1. 전시행사(24개소) : 도시농업 주제 전시관, 나비테마관, 기능성 텃밭, 유채꽃밭 등
2. 체험행사(34개소) : 힐링치유농업 체험, 재활용컵 미니화분 체험, 새싹 삼 심기 체험, 꿈 키움 어린이 원예교실 등
3. 공연·교육행사(5개소) : 버스킹, 버블쇼, 분갈이 교육, 도시농업 공개강좌 등
4. 직거래장터(28개소) : 지역농특산물(딸기, 사과, 천연식초, 가공농산물 등) 판매
5. 플리마켓(20개소) : 과일젤리, 수제요거트, 수제 목장 아이스크림, 패브릭소품 등 판매
6. 푸드트럭(7개) : 떡볶이, 닭강정, 츄러스, 핫도그 등

- 무료 체험·행사 : 테이크아웃 컵 활용 고추, 방울토마토 모종 심기, 웰빙 새싹 삼 심기, 나만의 쌀키링 만들기, 곤충 샌드아트 체험, 소형 농기계 체험, 미생물 활용 세제 만들기, 고구마 모종 배부, 염소 먹이주기 체험 등"
청춘양구 곰취축제,2024.05.03 ~ 2024.05.06,강원특별자치도 양구군 양구읍 상리 양구 레포츠공원 일원,무료입장 (기타 체험비 유료),"강원도 서늘한 곳에서 재배되는 봄의 대표 나물 ‘곰취’, 최대 생산지 양구에서 매년 5월 곰취축제가 개최된다.깊은 산 속 곰이 좋아하는 나물이라는 뜻에서 곰취라고 불린다. 싱그럽고 산뜻한 곰취향은 봄날의 입맛을 돋우며 피로회복, 항암효과, 혈액순환 개선, 기침, 천식 등에 효과가 있는 것으로 알려져 있다.천혜의 자연환경을 품은 양구 곰취축제에서 최고의 맛과 영양, 다양한 공연과 체험행사로 소중한 추억을 만들어볼 수 있다.
[행사내용]
1. 공연 : 개막식, 개막축하 콘서트, 소규모 친환경 버스킹,요일별 메인 공연
2. 체험 : 친환경 PLAY체험, 글램핑, 곰취 떡메치기, 농촌체험마을 등
3. 이벤트 : 어린이날 및 곰취관련 이벤트 등
4. 홍보, 전시 : 곰취홍보관 및 (ESG)친환경 홍보,전시 등
5. 먹거리, 판매 : 곰취판매(택배접수), 양구명품막걸리판매, 곰취분식, 향토주막 등
6. 연계 행사 : MBC 라디오 공개방송 행사 등"
서울안전한마당,2024.05.02 ~ 2024.05.04,서울특별시 영등포구 여의공원로 68 여의도공원관리사무소,무료,"다채로운 안전체험 프로그램과 이벤트, 전시·공연이 어우러져 안전을 즐겁게 경험하고, 안전의 가치를 되새길 수 있는 국내 대표 안전문화축제이다. 2024년에는 70개의 안전체험 프로그램과 몸짱소방관 선발대회, 시민들이 참여할 수 있는 히어로챌린지, 소징어게임, 안전 OX퀴즈 대회 등 각종 부대 행사도 즐길 수 있다.
[행사내용]
주요 프로그램

1. 안전체험 프로그램(6개 유형 / 70개 프로그램)
- (화재) 화재 대피 요령, 소화·피난기구 등
- (교통) 횡단보도, 안전벨트, 항공기, 개인이동장치 등
- (재난) 지진체험, 다중밀집상황 체험 등
- (생활) 심폐소생술, 전기·가스, 금융 등
- (건강) 의약품, 감염병, 스마트폰 중독
- (어울림) 포토존, 음료시음, 각종 만들기 체험

2. 대회·이벤트
- 몸짱 소방관 선발대회
- 히어로챌린지 대회(시민참여)
- 소징어게임, 안전OX퀴즈(시민참여)

3. 전시·공연
- 안전을 담은 소방차 포토존
- 소방영웅을 기억하는 히어로존
- 점심시간 버스킹 공연"
형산강 연등문화축제,2024.05.02 ~ 2024.05.26,경상북도 경주시 석장동 산38-8,무료,"신라 연등회 맥을 이은 전통문화축제로의 보존과 전승 및 가치를 알리고, 역사문화도시 경주시의 대표적인 지역 문화 축제인 “지혜의 등불, 행복한 세상” 「2024 형산강 연등문화축제」는 경주 지역 대표 문화 축제이다.
2024. 5. 2(목) ~5. 26(일) (총 25일간) 경주시 형산강 금장대 및 경주시내 일원에서 개최한다. 5. 2.(목) 17:50부터 축하공연, 개막식/점등식, 제등행렬이 열리며, 점등식을 시작으로 형산강과 경주시내 일원에 연등을 밝힌다. 연등은 5월 26일까지 불을 밝힌다. 5. 2.(목)~5. 4.(토) 간 형산강 둔치에서는 ● 체험행사: 전통 & 친환경 캐릭터 운영, 인형탈 포토존, 연등 만들기(수박등, 월월등), 전통 색칠 그리기 체험, 연등 도슨트 투어, 전통문양 그리기 친환경 체험(에코백, 키링 제작 체험), ● 부대행사: 연등 플로깅(5. 3.), 연등 페스타(5. 3.~5. 4.)를 개최한다.
[행사내용]
1. 메인프로그램
5/2 (목) 17:50~
- 축하공연, 개막식/점등식, 제등행렬/회향식

2. 부대프로그램
5/2 (목) ~ 5/4 (토)
- 체험행사: 전통 & 친환경 캐릭터 운영, 인형탈 포토존, 연등 만들기(수박등, 월월등), 전통 색칠 그리기 체험, 연등 도슨트 투어, 전통문양 그리기 친환경 체험(에코백, 키링 제작 체험)
- 부대행사: 연등 플로깅(5/3), 연등 페스타(5/3 ~ 5/4) 장엄등 전시 / 연등숲 조성, 거리연등 전시, 황룡사지 연등 전시(5/2 (목) ~ 5/26 (일) )"
서울페스타,2024.05.01 ~ 2024.05.06,서울특별시 종로구 세종대로 175 세종이야기,무료(노을공원 일부 프로그램 유료),"서울페스타 2024는 서울이 가진 다채로운 매력이 자연과 도심 위에 한 번에 펼쳐지는 특별한 봄날의 축제이다. 서울페스타의 시작을 알리는 개막공연이 펼쳐지는 서울광장을 시작으로, 다양한 시민과 아티스트의 공연이 이루어지는 광화문 광장 속 대규모 로드쇼, 그리고 한국의 고기 맛을 선보이는 노을공원, 이외 명동, 잠실 한강공원 등 서울 전역에 걸쳐 서울페스타 2024가 개최된다. 국내외 관광객들은 서울페스타 방문을 통해 뷰티, 패션, K-pop, 음식, 예술 등 서울의 매력을 만날 수 있는 각종 공연 및 체험존을 경험하며 서울의 멋과 맛을 모두 느낄 수 있다.
[행사내용]
1. PARTY
서울의 매력이 꽃피는 서울광장에서는 매일 낮과 밤, 세계와 서울시민이 모두 하나되는 파티가 열린다.
- 일시: 2024. 5. 1.(수) ~ 5. 3.(금) 11:00 ~ 21:00
- 장소: 서울광장
- 내용: K-POP 공연을 포함한 개막식(5.1.) 및 각종 체험 프로그램

2. PLAY
다채롭고 새로운 경험을 주는 광화문광장에서는 서울의 Life-style과 K-패션, 뷰티, K-POP 등 다양한 K-컬처가 펼쳐진다.
- 일시: 2024. 5. 1.(수) ~ 5. 6.(월) 11:00 ~ 21:00
- 장소: 광화문광장
- 내용: 다양한 시민이 함께하는 대규모 로드쇼 및 국내외 아티스트 콜라보 무대(5.4.), 각종 문화 체험 프로그램

3. PICNIC
자연과 도심이 어우러지 서울의 매력을 한껏 품은 노을공원에서 아름다운 한강의 저녁 노을을 바라보며 소울푸드 K-BBQ를 함께 즐기는 피크닉 공간이 펼쳐진다.
- 일시: 2024. 5. 4.(토) ~ 5. 5.(일) 11:00 ~ 21:00
- 장소: 노을공원
- 내용: 고기를 직접 구워먹는 K-바비큐 구이체험, 각종 방식으로 조리된 바비큐 판매, 고기와 함께 즐기는 각종 무대 공연"
전라남도 정원페스티벌,2024.05.01 ~ 2024.05.31,전라남도 완도군 해변공원로 52,무료,"완도 해변공원에서 열리는 2024년 전라남도 정원 페스티벌! 남도바다를 배경으로 펼쳐지는 해변정원과 대한민국 누구나 참여가능한 타이니하우스 정원이 조성된다. 마치 작은 마을을 연상시키는 아기자기한 정원 포토존, 주·야간의 다양한 정원문화 프로그램들을 만나볼 수 있다.
[행사내용]
1. 메인프로그램 : 대표정원,작가정원,참여정원
2. 부대프로그램 : 정원체험 프로그램
3. 소비자 참여 프로그램 : 화분만들기, 꽃모자 만들기 체험
4. 기타 내용 : 개막식"
제주고산리유적 선사축제,2024.04.28 ~ 2024.04.28,제주특별자치도 제주시 한경면 노을해안로 1100,무료(부분 유료),"우리나라 가장 오래된 신석기유적인 제주고산리유적은 섬유질토기인 고산리삭토기와 양면떼기 방식의 석기가 출토되며 이것은 동북아시아 초기 신석기문화연구에 중요한 유적으로 평가 받고 있다. 우리 동네 유적 가치를 널리 알리고 유적을 포함한 세계지질공원 수월봉, 고산리등명대, 천연기념물 차귀도 등 다양한 문화유산을 갖고있는 고산리 마을에서 지역주민과의 상생과 발전을 도모하는 선사축제이다.
[행사내용]
1. 메인프로그램 : 선사체험프로그램(토기, 석기, 선사바베큐, 활쏘기 등)
2. 부대프로그램 : 지역 공연
3. 소비자 참여 프로그램 : 스템프 이벤트(선착순)
4. 기타 내용 : 지역민 판매부스 등"
100+4피아노섬 축제,2024.04.27 ~ 2024.04.28,전라남도 신안군 자은면 자은서부2길 508-65,비용 정보 없음,"국내 정상급 연주자와 함께하는 개막공연 관객이 함께 하는 '나도 피아니스트' MZ세대의 열정 가득 '보라해 댄스페스티벌', '해변 버스킹 연주' 자은도의 특산물로 만들어지는 ‘자은도 미식여행’ 신안 특산물로 만든 ‘김밥 페스타’ 등등 아름다운 자연 속 오감만족 축제이다.
[행사내용]
1. 메인프로그램 : 100+4대 피아노 오케스트라 콘서트, 나도 100+4피아니스트
2. 부대프로그램 : 보라해댄스페스티벌
3. 소비자 참여 프로그램 : 나도 100+4피아니스트, 피아노버스킹, 소원은 피아노를 타고
4. 기타 내용 : 김밥페스타, 푸트트럭"
가산산성 문화유산 야행,2024.04.27 ~ 2024.04.28,경상북도 칠곡군 동명면 남원리 625-1 가산산성 진남문 일원,무료,"가산산성 야행은 가산산성의 역사·문화적 가치를 계승하고 발전할 수 있는 역사문화자원을 체험, 공연, 전시 등을 통하여 야간문화향유 프로그램으로 콘텐츠화하였다. 칠곡이 가진 인문학적 역량과 미디어파사드 기술을 융합하여 다양한 볼거리를 제공한다. 가산산성 야행은 야경(夜景), 야로(夜路), 야사(夜史), 공연은 야설(夜說), 야화(夜畵), 야시(夜市)등 다양한 야간 프로그램으로 구성되어 있다.
[행사내용]
1. 메인프로그램 : 미디어파사드
2. 부대프로그램 : 체험, 전시, 공연, 먹기리 등"
김제 모악산 뮤직페스티벌,2024.04.27 ~ 2024.04.28,전북특별자치도 김제시 금산면 금산리 99-2,무료,"봄날의 음악 소풍! 모악산 뮤직페스티벌은 아름다운 선율과 다채로운 음악으로 풍성하다. 모악산의 생동하는 봄 풍경 속에서 감성 충만 공연과 포토존, 어린이 관객을 위한 피에로 아트풍선, 먹거리?농특산물 장터, 플리마켓 등 힐링 프로그램을 즐길 수 있다.
[행사내용]
주요 출연진
- 4. 27.(토) 첫째날 : 정동하, 김수찬, 손예지, OTWO, Sldwn
- 4. 28.(일) 둘째날 : 육중완밴드, 강혜연, 서주연밴드, 강예영

부대 프로그램
- 농특산물 직거래 장터 및 체험, 먹거리 부스 등 운영
- 버블/삐에로 아트풍선이 있는 숲속놀이터, 포토존, 쉼터 운영"
동춘당 문화제,2024.04.27 ~ 2024.04.27,대전광역시 대덕구 동춘당로 80 (송촌동),"무료, 일부 체험 · 먹거리 부스 이용시 유료","동춘당 문화제는 1996년에 제1회를 시작으로 매년 4월 ~ 5월 경에 진행되어 올해 27회를 맞이하여 〈회덕, 다시 또 봄〉이라는 주제로 펼쳐진다.
동춘당 문화제를 대표하는 프로그램으로 숭모제례, 문정공시호봉송핼렬, 동춘당 휘호대회, 동춘 콘서트가 있으며 그 외 유교경전암송, 동춘장터, 동춘당 탕방 등 다채로운 프로그램으로 동춘당 문화제만의 즐거움을 선사하여 지역주민 및 관광객들이 즐길 수 있는 축제 장을 마련한다.
[행사내용]
1. 느껴 봄
〈숭모제례〉 - 동춘당 선생을 기리는 전통 유교식 제례
〈유교경전암송〉 - 유학자인 동춘당 선생의 사상을 기리는 유교경전암송

2. 놀아 봄
〈동춘장터〉 - 체험과 먹거리가 가득한 회덕의 저잣거리
〈다도체험〉 - 고풍있는 고택 안, 다도 체험

3. 글씨 봄
〈동춘당 전국휘호대회〉 - 동춘당 선생의 학덕과 정신을 기리는 대회

4. 걸어 봄
〈동춘당 역사문화탐방〉 - 동춘당 공원 내 유적 및 축제 탐방
〈문정공시호봉송행렬〉 - 동춘당 선생 사후 '문정'이라는 시호교지를 받들어온 행렬 재현

5. 즐겨 봄
〈동춘 버스킹〉 - 국악의 풍류가 흐르는 동춘 버스킹
〈장사익-동춘콘서트〉 - 노래에 희노애락이 담긴 장사익 콘서트"
문경찻사발축제,2024.04.27 ~ 2024.05.06,경상북도 문경시 새재로 932,입장료 무료(체험료 별도),"문경 전통찻사발과 실용적 생활자기, 그리고 커피다완까지 다양한 도자기 라인업으로 지속가능한 축제를 추구하고, 유명 사극촬영지인 문경새재오픈세트장에서 펼쳐지는 색다른 전시와 체험을 통해 모두가 즐겁고 흥겨운 축제이다.
[행사내용]
1. 공식행사: 개-폐막식 축하공연
2. 전시행사: 국제작가 교류전, 도자기명품전, 찻사발공모대전
3. 체험행사: 찻사발빚기, 그림그리기, 다례체험, 전통발물레체험
4. 특별행사: 사기장의 하루, 전통발물레경진대회, 전통다례 시연, 어린이날 특별행사"
방선문축제,2024.04.27 ~ 2024.04.28,제주특별자치도 제주시 오라이동 3819-11,무료,"국가명승지 제92호 방선문을 배경으로 제주도민 무사안녕을 기원하며 천혜의 아름다움을 갖춘 방선문을 널리 알리고 역사문화적 가치를 대내외로 전파하는 축제이다.
[행사내용]
1. 메인프로그램 : 제주도민 무사안녕 기원제
- 전통제례식으로 도민 모두의 무사안녕 기원, 제주목사 백성??랑 봄나들이: 제주목사의 영구춘화 봄나들이 행차 재현 공연, 전문예술단 공연(가야금, 대금, 장구 등)

2. 부대프로그램 : 방선문 장원급제 공모전(문학백일장, 서예휘호, 신선?선녀그리기)
- 3개 부분 사전공모 실시, 당선작품 전시"
부여세도 방울토마토 & 유채꽃축제,2024.04.27 ~ 2024.04.28,충청남도 부여군 세도면 가회리 573번지,무료,"매년 4월에 진행되는 '부여세도 방울토마토 & 유채꽃축제'는 15ha에 달하는 금강변 유채꽃밭에서 진행되는 민간축제로 다양한 볼거리, 먹거리, 즐길거리가 가득한 축제이다. 건강하고 신선한 방울토를 노란 유채꽃 가득한 축제장에서 맛 볼수 있다.
[행사내용]
1. 메인프로그램 : 세도 주민자치 공연, 세도면민 노래자랑, 불꽃놀이 등
2. 부대프로그램 : 체험, 판매부스, 푸드트럭 운영 등
3. 소비자 참여 프로그램 : 방울토마토 이벤트 등"
윤봉길 평화축제,2024.04.27 ~ 2024.04.28,충청남도 예산군 덕산면 덕산온천로 183-5,무료,"매헌 윤봉길 의사의 상해의거, 농촌계몽운동, 항일독립 운동 등 애국·애족정신을 선양 추모함과 시대정신 함양을 위한 평화축제 구현한다. 문화예술공연, 관람객 체험 및 전시 프로그램 운영된다.
[행사내용]
1. 메인프로그램 : 불꽃청년1932
2. 부대프로그램 : 전국 윤봉길평화사랑 그리기 대회, 평화 윤봉길 초,중,고 시낭송대회,불꽃청년페스티벌
3. 소비자 참여 프로그램 : 윤봉길 일대기 체험 '나도 윤봉길이다'"
제주마 입목 및 문화축제,2024.04.27 ~ 2024.04.28,제주특별자치도 제주시 516로 2480 (용강동),무료,"천연기념물인 제주마를 위한 홍보 및 전시를 축제형식으로 진행한다. 옛 목축문화 및 제주마를 관광객과 도민에게 알리는 것이 목적이며 제주마방목지를 최초 개방하여 다양한 프로그램 및 전시를 진행할 예정이다.
[행사내용]
1. 전시프로그램
- 목축문화 전시관
- 공모전 작품 전시
- 말관련 산업전
- 유관기관 홍보 부스
- 천연기념물 홍보관

2. 체험프로그램
- 말편자 드림캐처 만들기
- 조랑말 원목인형 / 말 탈 / 말 방문걸이 만들기
- 몽생이 말아톤
- 촐밭피크닉
- 몽생네컷"
종묘 묘현례,2024.04.27 ~ 2024.05.03,서울특별시 종로구 종로 157 (훈정동),무료(종묘 입장료 별도),"묘현례는 왕비나 세자빈이 왕실 혼례를 마친 후 조선왕조 역대 왕과 왕비의 신주가 모셔진 종묘를 알현하는 의례이며, 조선시대 국가 의례 중 여성이 유일하게 참여한 의례라는 점에서 그 의미가 매우 깊다. 「2024년 종묘 묘현례」에서는 숙종 29년(1703년) 인원왕후의 묘현례를 주제로 창작 뮤지컬과 의례 재현을 결합한 창작 공연극 '묘현, 왕후의 기록'과 조선 왕실 여성 문화를 체험할 수 있는 프로그램들을 선보인다.
[행사내용]
1. 메인프로그램 : 창작 공연극 '묘현, 왕후의 기록'
2. 부대프로그램 : 전통화장품 만들기 체험, 세자빈이 되어 사진 찍어보기(전시 및 포토존)"
캠핑요리축제,2024.04.27 ~ 2024.04.28,경기도 가평군 가평읍 자라섬로 60,"유료 (50,000원 / 70,000원)","2024년 8회째를 맞는 캠핑요리축제는 매년 전국의 캠핑러들에게 큰 인기를 얻고 있는 축제이다. 개성넘치는 5개의 요리 주제 중 자신 있는 주제를 택하여 레시피를 접수하고, 내부 심사를 통해 본선에 진출할 120팀이 선정된다. 모든 현장 참가자들은 요리대회 외에도 다양한 프로그램을 즐길 수 있으며 10만원 상당의 웰컴키트와 캠핑장 사이트가 제공될 예정이다. 또한, 심사위원들의 심사를 거쳐 최종 우승팀에 선정된 주제별 1-3등에게는 푸짐한 상금 및 부상이 수여된다. 가족, 친구, 연인 등 캠핑을 즐길 수 있는 사람이라면 누구나 참여 가능하며, 요리 재료 및 캠핑용품은 개별 준비가 필요하다.
[행사내용]
1. 메인프로그램 : 캠핑요리대회, 저녁 가수 공연
2. 부대프로그램 : 협찬사 부스 체험 등
3. 소비자 참여 프로그램 : 페이스페인팅, 타로카드, 다육이 심기 등
4. 기타 내용 : 가수 공연 외 버스킹팀 등 다양한 레크리에이션"
황매산철쭉제,2024.04.27 ~ 2024.05.12,경상남도 합천군 가회면 황매산공원길 331,무료,"경상남도 합천군 황매산군립공원 일원에서 개최되는 철쭉 축제 행사이다. 황매산군립공원 철쭉군락지는 전국 최대 규모의 철쭉군락지로, 약 30ha의 면적을 가지고 있다. 철쭉의 수종은 산철쭉이며, 일반적인 철쭉, 진달래와 다른 대표적인 한반도 자생종이다. 2024년 4월 27일 토요일부터 5월 12일 일요일까지 진행되며, 철쭉과억새사이 관광휴게소 부근에서 먹거리 부스와 체험활동, 공연무대와 휴게시설 등이 운영된다.
[행사내용]
1. 메인프로그램
- 철쭉군락지 관람

2. 부대프로그램
- 철쭉콘서트 : 퓨전국악, 팝페라, 트로트 등 / 4.27(토), 4.29(월), 5.2(목), 5.7(화) 철쭉과억새사이 관광휴게소 앞 공연무대

3. 소비자 참여 프로그램
1) 나눔카트투어
- 4.15(월)~5.17(금)기간 내 평일 운영(공휴일 제외), 노약자/장애인/다자녀가족 대상 전동카트 철쭉군락지 탐방 투어
2) 도슨트투어
- 4.16(화)~5.19(일) 기간 내 월요일 휴무, 숲해설가와 철쭉군락지를 걸어다니며 함께하는 탐방 투어
3) 보물찾기 이벤트
- 5.1~2(1차), 5.4~5(2차) 09:00~16:00
4) 전통놀이체험
- 4.27(토)~5.12(일) 기간 내 상시운영
5) 만들기체험
- 4.27(토)~5.12(일) 10:00/14:00 선착순, 정상주차장 체험부스

4. 기타 내용
- 상시운영 4.20~5.19 먹거리부스, 지역농특산물 판매장, 가수 김지호 사랑더하기 공연"
강원n 홍천 산나물축제,2024.04.26 ~ 2024.04.28,강원특별자치도 홍천군 홍천읍 갈마곡리,무료,"홍천군은 전국의 시·군 가운데 면적이 가장 크고 국토의 85%가 산지로 둘러싸인 험지이다. 동쪽으로 갈수록 해발고도가 높아지는 지리적 특징으로 다양한 산나물이 자생하며, 산나물 재배지로써 최적의 조건이다. 올해는 홍천과 강원특별자치도가 함께하여 강원 전 지역의 청정 강원산나물을 만나 볼 수 있는 축제의 장을 마련하였다. 이번 강원n 홍천산나물축제는 4월 26일부터 28일까지 3일동안 도시산림공원 토리숲에서 개최되며 다양한 산나물 판매는 물론 색다를 공연과 체험으로 관람객들을 맞이할 예정이다
[행사내용]
1. 개 장 식 : 식전공연 및 축하공연, 퍼포먼스 등
2. 무대행사 : 지역 예술인 및 동아리 공연, 산나물 이벤트, 각종 무대공연 및 행사
3. 체험행사 : 옛 농촌테마체험, 블록체험, 색칠체험, 산나물 모종심기 체험 등
4. 판매행사 : 산나물 판매장, 농·특산물장, 셀프식당, 향토음식점 등
5. 홍보행사 : 강원·홍천 관광안내, 산나물 및 야생화 전시관, 홍보관 등"
고양국제꽃박람회,2024.04.26 ~ 2024.05.12,경기도 고양시 일산동구 호수로 595,"일반권 15,000원
우대권 12,000원
*보통권, 현장매표 기준","대한민국 화훼산업 발전과 우리 꽃 소비촉진, 화훼 농가 수익 증대, 꽃 문화 의식 확산, 국내?외 관광객 유치를 통한 관광 산업 진흥 및 지역경제 활성화를 위해 매년 봄 고양국제꽃박람회를 개최하고 있다. 고양국제꽃박람회 개최를 통해 국가 꽃 문화 산업을 선도하며 많은 국내외 관람객 유치를 통해 관광 산업을 활성화하고 있다.
[행사내용]
1. 야외전시 / 실내전시
2. 개막식/ 개막축하공연
3. 고양국제꽃포럼
4. 고양국제꽃어워즈
5. 공연 이벤트
6. 고양플라워그랑프리
7. 시민참여공공예술프로젝트
8. 밤의 꽃축제(별도 행사)"
광주문화유산야행,2024.04.26 ~ 2024.04.27,광주광역시 동구 문화전당로 38 (광산동),무료,"광주 역사의 중심인 동구의 문화유산과 광주의 역사를 달빛 아래에서 만나보는 ‘광주 문화유산 야행’은 지역의 문화유산과 주변의 문화시설을 연계하여 다양한 역사문화체험의 기회를 제공하는 야간향유형 문화유산 테마 관광축제이다. 8야(夜)로 구성된 광주 문화유산 야행은 야경(야간경관), 야로(역사투어), 야사(체험), 야화(전시), 야설(공연), 야식(먹거리), 야시(장터), 야숙(숙박)을 통해 동구의 문화유산을 다채롭게 즐길 수 있다.
[행사내용]
1. 야설 : 학생독립기억학교, 돌의 기억 Ⅰ '모두 의병', 돌의 기억 Ⅱ '다시 성돌', 기억 스테이지, 광주근대풍경
2. 야사 : 광주 문화유산 한마당(동구 주제체험, 4대문 체험), 꼬마의병단, 광주읍성 관복체험, 성돌카페 '東人(동인)', 전통놀이학당
3. 야로 : Road of stone(목소리 투어, 어린이 해설사 투어, 인물카드 투어, 해설사 투어)
4. 야화 : 아뜰리에 無等等(무등등)(동인展, 광주읍성展, 광주학생독립기억展)
5. 야경 : 기억거리(돌의 기억 Ⅰ-기억등불 만들기, 돌의 기억 Ⅱ-광주역·나주역)
6. 야시 : 광주읍성이틀장(테마장터)
7. 야식 : 광주읍성이틀장(로컬디저트), 1원 상점
8. 야숙 : 광주문화유산야행 디너패키지"
단종문화제,2024.04.26 ~ 2024.04.28,강원특별자치도 영월군 영월읍 하송리 61-19,무료,"단종문화제는 조선 제6대 임금인 단종의 고혼과 충신들의 넋을 축제로 승화시킨 영월의 대표적인 향토문화제이다. 1967년에 ""단종제""라는 이름으로 시작된 이 축제는 1990년 제24회 때부터 ""단종문화제""로 명칭을 바꾸어 현재까지 다양한 체험과 함께 관람객들에게 다가가고 있다. 조선 제6대 단종대왕의 능 장릉이 있는 영월에서 제57회 단종문화제가 2024년 4월 26일(금)부터 28일(일)까지 3일간 개최된다. 올해의 단종문화제는 단종국장, 단종제향, 정순왕후 선발대회, 칡 줄 다리기, 체험행사, 참여행사, 공연행사 등 다양한 행사를 진행한다.
[행사내용]
1. 메인프로그램
- 단종국장, 단종제향, 정순왕후선발대회, 칡줄다리기

2. 부대프로그램
- 단종의옷자락을따라, 박물관체험, 단종퍼레이드, 백일장, 사생대회, 학술심포지엄, 지역예술인전시 등

3. 기타프로그램
- 영월맛장터, 포토존, 영터리굿즈샵 등"
부산연등회,2024.04.26 ~ 2024.05.12,부산광역시 부산진구 동성로112번길 121-1  송상현광장 및 부산시민공원 일원,무료,"부산연등회는 국가중요무형문화재 122호로 지정된 연등회를 부산지역에서 계승하는 행사이다. 연등회는 1,300년을 넘게 이어져 온 우리고유의 문화로, 부처님오신날을 맞아 우리사회 전반에서 서로가 화합하고 번성하기를 기원하며 등을 밝히는 축제이다. 주요행사인 봉축연합대회, 연등행렬, 전통등 전시를 비롯한 우리 전통문화를 계승 발전시키는데 목적이 있다.
[행사내용]
1. 메인프로그램
① 부산연등회
- 일시/장소 : 5월 11일 오후 4시 / 부산시민공원 다솜광장
- 내용 : 연희단 어울림한마당, 봉축연합대회, 연등행렬
② 부산연등문화제
- 일시/장소 : 4월 26일 ~ 5월 12일 / 송상현광장
- 내용 : 개막점등식(4월 26일 오후 7시), 전통등 전시(4월 26일 ~ 5월 12일), 소원등달기 체험(4월 26일 ~ 5월 12일), 전통문화체험 한마당(5월 4일 ~ 5일), 무차만발공양(5월 5일)

2. 부대행사
① 전통등 특별전
- 일시/장소 : 4월 ~ 5월 중 / 시민공원 다솜갤러리
② 관람객 SNS 공모전
- 일시 : 4월 1일 ~ 5월 24일"
사천와룡문화제,2024.04.26 ~ 2024.04.28,경상남도 사천시 용현면 시청로 77,무료,"사천와룡문화제는 ""사주천년""이라는 역사적 자긍심과 지역의 정통성을 상징하는 ""용과 왕, 고려현종""이라는 소재로 사천의 정체성과 공동체 의식을 축제에 표현함으로써 지역민들의 문화적 참여를 바탕으로 매년 다양한 볼거리와 즐길 거리가 있는 사천시의 대표 축제이다.
[행사내용]
1. 메인 프로그램
- 거리퍼레이드, 용놀이 퍼포먼스 공연, 팔관회, 연등회, 와룡/고려현종 관련 주제관

2. 공연프로그램
- 개막·폐막 축하공연, 사천드론라이트쇼, 가산오광대 공연, 와룡콘서트, 고려현종 역사 마당극, 와룡 붓글 퍼포먼스, 고려현종 역사 마당극, 사천마도갈방아소리 공연, 와룡 마술쇼, 우리가 최고야

3. 경연프로그램
- 와룡 슈퍼스타 경연대회, 학생 미술 실기대회, 구암대상 전국시조경창대회, 전국 학생 음악 경연 대회, 학생 백일장 대회

4. 체험, 전시 프로그램
- 무예체험, 샌드아트 체험, 우주항공 VR체험, 테이핑 아트, 시민염원글쓰기, 우주공간체험, 추억의 먹거리, 죽순캐기체험, 드론축구경연대회, 자개공예, 종이로켓만들기, 와룡가면 만들기, ESG로켓만들기

5. 동시개최
- 2024년 사천시 건강한마당, 제52회 사천 전국 연날리기 대회

6. 먹거리, 상설운영
- 음식점, 푸드트럭, 홍보 및 판매 부스, 풍물시장 등"
